SVID,Name_E,Name_G,TCode,DCode,VCode,MDDS_Code
10000642,Karoli,Karoli,0335,54,34498,505530
10000643,Cheechli Gaon,Cheechli Gaon,0202,32,39113,482415
10000644,PiplaNarayanwar,PiplaNarayanwar,0277,43,51949,495198
10000645,Salidhana,Salidhana,0339,54,35100,506135
10000646,Suhagi,Suhagi,0336,54,300426,505686
10000647,Imalidhana,Imalidhana,0336,54,300392,505652
10000648,Rahetiya,Rahetiya,0336,54,300423,505683
10000649,Mahatpura,Mahatpura,0335,54,34463,505499
10000650,Najarpurtanda,Najarpurtanda,0335,54,34487,505523
10000651,Udaipur,Udaipur,0339,54,10000628,
10000652,Bhutiyakheda,Bhutiyakheda,0337,54,35010,505897
10000653,Roshanpura,Roshanpura,0338,54,34718,505982
10000654,KUSHALPURA,KUSHALPURA,0123,20,24520,470299
10000655,RAMGARH,RAMGARH,0124,20,24550,470329
10000656,AMARPURA,AMARPURA,0123,20,24524,470303
10000657,ALIGARH,ALIGARH,0124,20,24550,470329
10000658,SONGIRI,SONGIRI,0124,20,24550,470329
10000659,KHEDAMALYA,KHEDAMALYA,0124,20,24577,470356
10000660,NASIRGANJ,NASIRGANJ,0124,20,24577,470356
10000661,NATHUKHEDI,NATHUKHEDI,0124,20,24547,470326
10000662,meghapura,meghapura,0124,20,24628,470407
10000663,taragarh,taragarh,0123,20,24464,470243
10000664,nipaniyakhedi,nipaniyakhedi,0123,20,24466,470245
10000665,undakhal,undakhal,0123,20,24466,470245
10000666,Daswaghata,Daswaghata,0123,20,24543,470322
10000667,KESARJI KA KHEDA,KESARJI KA KHEDA,0123,20,24524,470303
10000668,SUKHAKHEDA,SUKHAKHEDA,0123,20,24543,470322
10000669,KIRO KA KHEDA,KIRO KA KHEDA,0123,20,24543,470322
10000670,GAFFURKHA KA KHEDA,GAFFURKHA KA KHEDA,0123,20,24542,470321
10000671,KHEDA,KHEDA,0122,20,24416,470194
10000672,BADAVADA,BADAVADA,0122,20,24372,470150
10000673,CHAPRIYA,CHAPRIYA,0127,20,25059,470837
10000674,MAKANPURA,MAKANPURA,0122,20,24416,470194
10000675,MOKAKHEDA,MOKAKHEDA,0122,20,10000674,
10000676,LIMAPADA,LIMAPADA,0127,20,25042,470820
10000677,FACHARIYA,FACHARIYA,0122,20,24393,470171
10000678,UMARBTTA,UMARBATTA,0127,20,25025,470803
10000679,RELA,RELA,0127,20,25025,470803
10000680,DHIKHARIYA,DHIKHARIYA,0122,20,10000677,
10000681,GHURUPADA,GHURUPADA,0127,20,10000679,
10000682,TALAWALI,TALAWALI,0122,20,10000680,
10000683,VIGAPATEN,VIGAPATEN,0127,20,25041,470819
10000684,BHAGAWAD,BHAGAWAD,0127,20,25042,470820
10000685,HUSENTEKARI,HUSENTEKARI,0122,20,24366,470144
10000686,NARSINGNAKA,NARSINGNAKA,0127,20,25041,470819
10000687,KUDA,KUDA,0126,20,24991,470769
10000688,KUDIKATPRA,KUDIKATPRA,0127,20,25042,470820
10000689,MALAKATAPRA,MALAKATAPRA,0127,20,25025,470803
10000690,PIPLIKAMAL,PIPLIKAMAL,0127,20,10000679,
10000691,BHIMPURA,BHIMPURA,0127,20,25025,470803
10000692,DEVLAMAHUAA,DEVLAMAHUAA,0127,20,10000679,
10000693,SALRAPADA,DEVLAMAHUAA,0127,20,25025,470803
10000694,GUNDHIPADA,GUNDHIPADA,0127,20,25059,470837
10000695,SHOHANPUR,SHOHANPUR,0127,20,25059,470837
10000696,bherupad,bherupad,0127,20,10000679,
10000697,NARSINGPADA,NARSINGPADA,0127,20,25042,470820
10000698,GHATALIYA,GHATALIYA,0127,20,25041,470819
10000699,raoti,raoti,0127,20,25025,470803
10000700,kedidodiyar,kedidodiyar,0127,20,10000693,
10000701,CHANDRAHGAD,CHANDRAHGAD,0127,20,10000693,
10000702,NAEAABADI,NAEAABADI,0127,20,25042,470820
10000703,RAYKHORA,RAYKHORA,0127,20,10000679,
10000704,SALRAPADA,SALRAPADA,0127,20,25022,470800
10000705,New Harsud,New Harsud,0335,54,34510,505541
10000706,Mundi,Mundi,0338,54,34793,506056
10000707,Pandhana,Pandhana,0339,54,35089,506124
10000708,Ambedkar Nagar,Ambedkar Nagar (P.H.C. Misrod),0202,32,10000643,
10000709,Ganesh Nagar,Ganesh Nagar (PHC Misrod),0202,32,39255,482544
10000710,Kanahakunj,Kanahakunj (PHC Misrod),0202,32,39187,482489
10000711,Om Nagar,Om Nagar (PHC. Misrod),0202,32,39203,482505
10000712,Gehunkheda,Gehunkheda (PHC. Misrod),0202,32,39211,482513
10000713,Gareb Nagar,Gareb Nagar (PHC. Misrod),0202,32,39079,482381
10000714,Akbarpura,Akbarpura (PHC.Misrod),0202,32,39256,482545
10000715,Priyanka Nagar,Priyanka Nagar (PHC. Misrod),0202,32,39237,482537
10000716,Banjari,Banjari (PHC. Misrod),0202,32,39237,482537
10000717,Dolatpur,Dolatpur (PHC Misrod),0202,32,10000716,
10000718,Suhagpur,Suhagpur (PHC Misrod),0202,32,39237,482537
10000719,Abbas Nagar,Abbas Nagar (PHC Misrod),0202,32,39237,482537
10000720,Hinotiya Slum,Hinotiya Slum (PHC Misrod),0202,32,39237,482537
10000721,Sankedhi Gaon,Sankedhi Gaon (PHC.Misrod),0202,32,39237,482537
10000722,610 Slum,610 Slum (PHC Misrod),0202,32,39237,482537
10000723,Hinotiya Alam,Hinotiya Alam (PHC Misrod),0202,32,39237,482537
10000724,Pipaliya Kesho,Pipaliya Kesho (PHC Misrod,SHCAmrawatkala),0202,32,39237,482537
10000725,Khandawar,Khandawar (PHC Misrod,SHCAmrawatkala),0202,32,10000643,
10000726,Inayatpur,Inayatpur (PHC Misrod),0202,32,39237,482537
10000727,Semri,Semri (PHC Misrod),0202,32,39187,482489
10000728,Bodakho,Bodakho (PHC Misrod),0202,32,39194,482496
10000729,Peli Talai,Peli Talai (PHC Misrod),0202,32,39113,482415
10000730,Dholi Umar,Dholi Umar (PHC Misrod),0202,32,39237,482537
10000731,Imaliya,Imaliya (PHC Misrod),0202,32,39237,482537
10000732,Deheri,Deheri (PHC Misrod),0202,32,39197,482499
10000733,Kakariya,Kakariya (P.H.C. Misrod),0202,32,39076,482378
10000734,Gora Gaon,Gora Gaon (PHC Ratibad),0202,32,39237,482537
10000735,Veshan Kerdi,Veshan Kerdi (PHC Ratibad),0202,32,39237,482537
10000736,Negwan,Negwan,0244,38,45084,488387
10000737,Banjari,Banjari,0243,38,45184,488328
10000738,Paraswara Khurd,Paraswara Khurd,0243,38,45184,488328
10000739,Bangawan,Bangawan,0243,38,45184,488328
10000740,Nipaniya,Nipaniya,0243,38,10000737,
10000741,Barhi Ward No. 1,Barhi Ward No. 1,0243,38,45184,488328
10000742,Hartala Barhi Ward No2,Hartala Barhi ward No 2,0243,38,10000740,
10000743,Barhi Ward no.3 to 5,Barhi Ward no.3 to 5,0243,38,10000740,
10000744,Barhi Ward no.8 to 13,Barhi Ward no.8 to 13,0243,38,10000740,
10000745,Chidiya Tola ( Barhi Ward no 14),Chidiya Tola ( Barhi Ward no 14),0243,38,10000740,
