SID,Name_E,Name_G,PID,TCode,DCode,Code_16,Phy_Vcode,Is_Tribal,Is_Notional
5053,SHC Gangpur,SHC Gangpur,1063,0282,44,14,,0,0
5054,SHC Padwar,SHC Padwar,903,0246,38,16,,0,0
5055,SHC Patan,SHC Patan,1063,0282,44,15,,0,0
5056,SHC Amgaon,SHC Amgaon,890,0295,45,5,,0,0
5058,SHC Sihudi,SHC Sihudi,903,0246,38,17,,0,0
5059,SHC Birwa,SHC Birwa,890,0295,45,6,,0,0
5060,SHC Amiliya,SHC Amiliya,972,0321,50,5,,0,0
5061,SHC Slimnabad,SHC Slimnabad,903,0246,38,18,,0,0
5063,SHC Mowala,SHC Mowala,890,0295,45,7,,0,0
5064,SHC Rajgarh,SHC Rajgarh,972,0321,50,6,,0,0
5066,SHC Diwari,SHC Diwari,1053,0282,44,16,,0,0
5067,SHC Bamhani,SHC Bamhani,890,0295,45,8,,0,0
5068,SHC JAMUNI,SHC JAMUNI,836,0310,48,23,,0,0
5069,SHC Ganiari,SHC Ganiari,867,0326,51,43,,0,0
5071,SHC Jayant,SHC Jayant,867,0326,51,44,,0,0
5072,SHC Hinauti,SHC Hinauti,972,0321,50,7,,0,0
5073,SHC Jaynagar,SHC Jaynagar,867,0326,51,45,,0,0
5074,SHC Kahani,SHC Kahani,1047,0282,44,17,,0,0
5075,SHC Garhi,SHC Garhi,892,0295,45,9,,0,0
5077,SHC Jhingurda,SHC Jhingurda,867,0326,51,46,,0,0
5078,SHC Baghaudi,SHC Baghaudi,972,0321,50,8,,0,0
5079,SHC Bahoriband,SHC Bahoriband,891,0246,38,19,,0,0
5080,SHC Mehata,SHC Mehata,1047,0282,44,18,,0,0
5081,SHC Kachni,SHC Kachni,867,0326,51,47,,0,0
5083,SHC Sijhora,SHC Sijhora,892,0295,45,10,,0,0
5084,SHC Bamhori,SHC Bamhori,891,0246,38,20,,0,0
5085,SHC Baroda,SHC Baroda,1047,0282,44,19,,0,0
5086,SHC Majan,SHC Majan,867,0326,51,48,,0,0
5087,SHC Chargawa,SHC Chargawa,891,0246,38,21,,0,0
5090,SHC Medhouli,SHC Medhouli,867,0326,51,49,,0,0
5092,SHC DEWALPUR,SHC DEWALPUR,930,0261,41,94,,0,0
5093,SHC Navanagar,SHC Navanagar,867,0326,51,50,,0,0
5094,SHC Samariya,SHC Samariya,892,0295,45,11,,0,0
5095,SHC JATADONGRI,SHC JATADONGRI,937,0261,41,95,,0,0
5096,SHC UMARIYA,SHC UMARIYA,937,0261,41,96,,0,0
5097,SHC Navjeevan Bihar,SHC Navjeevan Bihar,867,0326,51,51,,0,0
5098,SHC BAMHNI,SHC BAMHNI,937,0261,41,97,,0,0
5099,SHC Nigahi,SHC Nigahi,867,0326,51,52,,0,0
5100,SHC JADASURANG,SHC JADASURANG,937,0261,41,98,,0,0
5101,SHC Devri,SHC Devri,891,0246,38,22,,0,0
5103,SHC Panjreh,SHC Panjreh,867,0326,51,53,,0,0
5105,SHC bamoharikhurd,SHC bamoharikhurd,1108,0256,40,1,,0,0
5106,SHC Bithauli,SHC Bithauli,1010,0321,50,9,,0,0
5107,SHC Jaitpuri,SHC Jaitpuri,892,0295,45,12,,0,0
5108,SHC PATHREHI,SHC PATHREHI,836,0310,48,24,,0,0
5110,SHC Chitang,SHC Chitang,1010,0321,50,10,,0,0
5111,SHC Bithli,SHC Bithli,892,0295,45,13,,0,0
5112,SHC SAPATA,SHC SAPATA,836,0310,48,25,,0,0
5113,SHC Kukarra,SHC Kukarra,892,0295,45,14,,0,0
5114,SHC Barela,SHC Barela,947,0252,39,1,,0,0
5115,SHC MAJHGAON,SHC MAJHGAON,930,0261,41,99,,0,0
5116,SHC KUA,SHC KUA,836,0310,48,26,,0,0
5118,SHC Sonvrsha,SHC Sonvrsha,1010,0321,50,11,,0,0
5119,SHC Tumrda,SHC Tumrda,1080,0256,40,2,,0,0
5120,SHC Kudan,SHC Kudan,891,0246,38,23,,0,0
5121,SHC KUKARRAMATH,SHC KUKARRAMATH,934,0261,41,100,,0,0
5122,SHC Alna,SHC Alna,892,0295,45,15,,0,0
5123,SHC MANIKPUR,SHC MANIKPUR,930,0261,41,101,,0,0
5124,SHC Hinotia,SHC Hinotia,947,0252,39,2,,0,0
5125,SHC JHANKI,SHC JHANKI,930,0261,41,102,,0,0
5126,SHC Pahadi,SHC Pahadi,1010,0321,50,12,,0,0
5127,SHC Agariya,SHC Agariya,1047,0282,44,20,,0,0
5128,SHC Mohania,SHC Mohania,891,0246,38,24,,0,0
5129,SHC KHUDIYA,SHC KHUDIYA,930,0261,41,103,,0,0
5130,SHC Pandulata,SHC Pandulata,892,0295,45,16,,0,0
5131,SHC Pindrai,SHC Pindrai,1047,0282,44,21,,0,0
5132,SHC Pathwari,SHC Pathwari,891,0246,38,25,,0,0
5133,SHC PADARIYA,SHC PADARIYA,930,0261,41,104,,0,0
5134,SHC Mahgawan,SHC Mahgawan,947,0252,39,3,,0,0
5135,SHC Nivavar,SHC Nivavar,1080,0256,40,3,,0,0
5137,SHC GAURA KANHARI,SHC GAURA KANHARI,934,0261,41,105,,0,0
5138,SHC Tilhari,SHC Tilhari,947,0252,39,4,,0,0
5139,SHC Sindusi,SHC Sindusi,891,0246,38,26,,0,0
5140,SHC Hatwa,SHC Hatwa,1010,0321,50,13,,0,0
5141,SHC Kugaon,SHC Kugaon,892,0295,45,17,,0,0
5142,SHC Parsoana,SHC Parsoana,867,0326,51,54,,0,0
5143,SHC DAMITITRAHI,SHC DAMITITRAHI,934,0261,41,106,,0,0
5144,SHC Dhanpuri,SHC Dhanpuri,947,0252,39,5,,0,0
5145,SHC Piparpani,SHC Piparpani,1080,0256,40,4,,0,0
5146,SHC Darot Khurd,SHC Darot Khurd,1047,0282,44,22,,0,0
5147,SHC PAPREDI,SHC PAPREDI,832,0310,48,27,,0,0
5148,SHC AJGAR,SHC AJGAR,934,0261,41,107,,0,0
5150,SHC Shahpur,SHC Shahpur,867,0326,51,55,,0,0
5151,SHC Nakjhar,SHC Nakjhar,979,0321,50,14,,0,0
5152,SHC Padwar,SHC Padwar,947,0252,39,6,,0,0
5153,SHC Bhanderi,SHC Bhanderi,893,0295,45,18,,0,0
5154,SHC Bandha (Jhikoli),SHC Bandha (Jhikoli),1108,0256,40,5,,0,0
5155,SHC DHURKUTA,SHC DHURKUTA,934,0261,41,108,,0,0
5156,SHC Dhuri,SHC Dhuri,900,0246,38,27,,0,0
5157,SHC KHARPA,SHC KHARPA,832,0310,48,28,,0,0
5158,SHC Hirapur,SHC Hirapur,893,0295,45,19,,0,0
5159,SHC Solang,SHC Solang,867,0326,51,56,,0,0
