TCode,Name_E,Name_G,BID
0198,Gyaraspur,Gyaraspur,65
0054,Bijawar,Bijawar,100
0199,Gulabganj,Gulabganj,65
0055,Buxwaha,Buxwaha,101
0193,Kurwai,Kurwai,68
0219,Bhainsdehi,Bhainsdehi,102
0045,Gaurihar,Gaurihar,103
0225,Multai,Multai,104
0046,Laundi,Laundi,105
0048,Nowgong,Nowgong,106
0051,Rajnagar,Rajnagar,107
0185,Khilchipur,Khilchipur,108
0191,Lateri,Lateri,72
0225,Multai,Multai,109
0188,Sarangpur,Sarangpur,110
0315,Anuppur,Anuppur,10
0314,Kotma,Kotma,12
0219,Bhainsdehi,Bhainsdehi,111
0202,Huzur,Huzur,202
0196,Nateran,Nateran,76
0217,Silwani,Silwani,113
0224,Shahpur,Shahpur,114
0197,Shamshabad,Shamshabad,76
0187,Biaora,Biaora,78
0226,Amla,Amla,49
0184,Jirapur,Jirapur,93
0233,Seoni-Malwa,Seoni-Malwa,115
0072,Rehli,Rehli,117
0239,Pipariya,Pipariya,118
0200,Vidisha,Vidisha,81
0001,Vijaypur,Vijaypur,3
0108,Jawad,Jawad,205
0020,Gird,Gird,158
0303,Aron,Aron,134
0029,Shivpuri,Shivpuri,137
0299,Bamori,Bamori,138
0030,Narwar,Narwar,139
0022,Bhitarwar,Bhitarwar,140
0031,Karera,Karera,142
0027,Bhander,Bhander,143
0032,Kolaras,Kolaras,144
0033,Badarwas,Badarwas,148
0034,Pichhore,Pichhore,149
0117,Mandsaur,Mandsaur,150
0035,Khaniyadhana,Khaniyadhana,151
0025,Indergarh,Indergarh,152
0006,Ambah(0006),Ambah(0006),131
0010,Kailaras(0010),Kailaras(0010),141
0026,Datia,Datia,153
0095,Mangawan(0095),Mangawan(0095),352
0092,Teonthar(0092),Teonthar(0092),344
0123,Alot,Alot,154
0304,Chachaura,Chachaura,155
0023,Chinour,Chinour,156
0126,Bajna,Bajna,157
0020,Gird,Gird,161
0298,Guna,Guna,159
0122,Jaora,Jaora,160
0129,Khacharod,Khacharod,173
0121,Piploda,Piploda,162
0302,Kumbhraj,Kumbhraj,163
0099,Naigarhi(0099),Naigarhi(0099),298
0300,Raghogarh,Raghogarh,164
0021,Pichhore,Pichhore,165
0300,Raghogarh,Raghogarh,166
0033,Badarwas,Badarwas,148
0117,Mandsaur,Mandsaur,206
0118,Daloda ,Daloda ,206
0031,Karera,Karera,142
0098,Mauganj(0098),Mauganj(0098),345
0303,Aron,Aron,134
0299,Bamori,Bamori,138
0128,Ratlam,Ratlam,167
0035,Khaniyadhana,Khaniyadhana,151
0304,Chachaura,Chachaura,155
0032,Kolaras,Kolaras,144
0302,Kumbhraj,Kumbhraj,155
0030,Narwar,Narwar,139
0034,Pichhore,Pichhore,149
0114,Malhargarh,Malhargarh,168
0135,Badnagar,Badnagar,169
0029,Shivpuri,Shivpuri,137
0125,Sailana,Sailana,170
0093,Jawa(0093),Jawa(0093),350
0132,Ghatiya,Ghatiya,171
0147,Dewas,Dewas,172
0298,Guna,Guna,159
0301,Maksudangarh,Maksudangarh,164
0108,Jawad,Jawad,209
0027,Bhander,Bhander,143
0026,Datia,Datia,153
0146,Sonkatch,Sonkatch,174
0025,Indergarh,Indergarh,152
0024,Seondha,Seondha,152
0119,Sitamau,Sitamau,175
0115,Garoth,Garoth,176
0131,Mahidpur,Mahidpur,177
0145,Tonk Khurd,Tonk Khurd,178
0113,Bhanpura,Bhanpura,179
0130,Nagda,Nagda,180
0152,Khategaon,Khategaon,181
0133,Tarana,Tarana,183
0119,Sitamau,Sitamau,175
0120,Suwasara,Suwasara,175
0134,Ujjain,Ujjain,184
0115,Garoth,Garoth,176
0307,Ashoknagar,Ashoknagar,185
0116,Shamgarh,Shamgarh,176
0306,Chanderi,Chanderi,186
0123,Alot,Alot,154
0113,Bhanpura,Bhanpura,179
0305,Isagarh,Isagarh,187
0121,Piploda,Piploda,162
0148,Kannod,Kannod,189
0129,Khacharod,Khacharod,173
0130,Nagda,Nagda,173
0135,Badnagar,Badnagar,169
0132,Ghatiya,Ghatiya,171
0131,Mahidpur,Mahidpur,177
0133,Tarana,Tarana,183
0134,Ujjain,Ujjain,184
0307,Ashoknagar,Ashoknagar,185
0308,Shadhora,Shadhora,185
0306,Chanderi,Chanderi,186
0122,Jaora,Jaora,160
0128,Ratlam,Ratlam,167
0126,Bajna,Bajna,157
0125,Sailana,Sailana,170
0152,Khategaon,Khategaon,181
0139,Agar,Agar,191
0150,Bagli,Bagli,192
0138,Badod,Badod,193
0022,Bhitarwar,Bhitarwar,140
0023,Chinour,Chinour,156
0021,Pichhore,Pichhore,165
0020,Gird,Gird,161
0144,Kalapipal,Kalapipal,194
0308,Shadhora,Shadhora,195
0151,Hatpiplya,Hatpiplya,192
0148,Kannod,Kannod,189
0005,Karahal,Karahal,1
0300,Raghogarh,Raghogarh,164
0101,Raipur - Karchuliyan(0101),Raipur - Karchuliyan(0101),352
0313,Jaitpur,Jaitpur,19
0312,Sohagpur,Sohagpur,20
0311,Jaisinghnagar,Jaisinghnagar,21
0325,Deosar,Deosar,30
0324,Chitrangi,Chitrangi,31
0326,Singrauli,Singrauli,32
0324,Chitrangi,Chitrangi,31
0325,Deosar,Deosar,30
0142,Moman Badodiya,Moman Badodiya,196
0309,Mungaoli,Mungaoli,190
0147,Dewas,Dewas,172
0146,Sonkatch,Sonkatch,174
0305,Isagarh,Isagarh,187
0145,Tonk Khurd,Tonk Khurd,178
0137,Nalkheda,Nalkheda,197
0307,Ashoknagar,Ashoknagar,195
0149,Satwas,Satwas,189
0140,Shajapur,Shajapur,198
0150,Bagli,Bagli,192
0143,Shujalpur,Shujalpur,199
0308,Shadhora,Shadhora,195
0309,Mungaoli,Mungaoli,190
0309,Mungaoli,Mungaoli,200
0136,Susner,Susner,201
0110,Neemuch,Neemuch,203
0112,Manasa,Manasa,204
0108,Jawad,Jawad,209
0109,Singoli,Singoli,205
0112,Manasa,Manasa,204
0110,Neemuch,Neemuch,203
0111,Jiran,Jiran,203
0005,Karahal,Karahal,1
0001,Vijaypur,Vijaypur,3
0002,Beerpur,Beerpur,3
0139,Agar,Agar,191
0138,Badod,Badod,193
0141,Gulana,Gulana,196
0144,Kalapipal,Kalapipal,194
0142,Moman Badodiya,Moman Badodiya,196
0137,Nalkheda,Nalkheda,197
0230,Handiya,Handiya,63
0143,Shujalpur,Shujalpur,199
0136,Susner,Susner,201
0117,Mandsaur,Mandsaur,206
0230,Handiya,Handiya,207
0109,Singoli,Singoli,209
0261,Dindori ,Dindori ,252
0257,Narsimhapur,Narsimhapur,237
0255,Gotegaon,Gotegaon,255
0267,Nainpur,Nainpur,290
0095,Mangawan,Mangawan,299
0095,Mangawan,Mangawan,299
0334,Alirajpur,Alirajpur,33
0332,Bhavra,Bhavra,37
0098,Mauganj,Mauganj,348
0097,Hanumana,Hanumana,348
0039,Jatara,Jatara,5
0210,Rehti,Rehti,48
0155,Dhar,Dhar,333
0020,Gird,Gird,158
0114,Malhargarh,Malhargarh,168
0229,Harda,Harda,208
0230,Handiya,Handiya,208
0262,Niwas,Niwas,294
0312,Sohagpur,Sohagpur,285
0050,Chhatarpur,Chhatarpur,46
0252,Jabalpur,Jabalpur,264
0262,Niwas,Niwas,289
