SID,VCode
390,10000004
390,10000006
391,2284
392,2506
392,10000012
393,2279
393,10000013
394,2303
394,2598
395,2288
396,2287
396,10000014
397,2255
397,2309
397,10000015
397,10000016
398,2057
398,10000017
398,10000018
399,2294
399,10000019
400,2292
401,2272
402,2267
402,10000008
403,2265
404,2271
404,2273
404,10000009
405,2263
406,2366
406,2367
407,2346
407,2347
407,2368
408,2383
409,2345
409,2369
409,2375
410,2340
410,2341
410,2344
410,2566
411,2343
411,2370
411,2375
412,1836
412,2376
412,2384
412,2386
413,1643
413,2385
414,2352
415,2350
415,2351
416,2322
416,2323
416,2349
417,1790
417,2324
418,2326
418,2434
419,2319
419,2320
419,2425
420,2315
420,2316
420,2317
421,2388
422,2427
423,2390
423,2428
423,2616
424,2432
425,2321
425,2327
425,2328
425,2331
426,2330
427,2333
427,2334
428,2362
429,2357
430,2359
431,2355
432,2354
433,2356
434,2353
434,2360
434,2361
435,2364
436,2339
439,2160
440,2414
441,2412
442,2418
443,2409
444,2417
445,2401
446,2402
447,2395
448,2394
449,2514
450,1686
451,2518
452,2260
453,2058
454,2187
457,2498
458,1955
459,2419
460,2424
461,2318
463,2128
464,2444
467,2502
468,2495
469,2504
470,2048
471,2618
472,2563
473,2565
474,2560
475,2551
476,1875
477,2555
478,2191
479,2549
480,2630
481,2626
482,2628
483,2611
484,2144
485,2591
486,2588
487,2589
488,2352
489,2581
490,2583
491,1730
492,2523
493,1963
494,2133
495,2574
496,2015
497,2537
498,2537
499,2528
500,26514
501,2521
502,2572
503,2571
504,2524
505,2531
506,2532
507,1860
508,2524
509,2672
510,2571
511,2656
512,3163
513,2718
514,2721
515,2896
516,4944
517,5024
518,3638
519,2929
520,5137
521,2835
522,2842
523,2958
524,2782
525,3800
526,2923
527,2938
528,3193
529,2823
530,4757
531,2810
532,4608
533,2668
534,3443
535,3063
536,3852
537,3244
538,2776
539,2642
540,2633
541,3845
542,3599
543,2654
544,4393
545,4605
546,2924
547,4956
548,4304
549,2940
550,2941
551,2958
552,2983
553,2983
554,2982
555,3001
556,2980
557,3103
558,3213
559,3100
560,3119
561,3121
562,4453
563,5452
564,3128
565,3332
566,3241
567,4647
568,4839
569,5146
570,2959
571,75
572,3051
573,3555
574,3024
575,2915
575,3367
576,3352
576,3355
576,3360
576,3365
576,3366
576,3371
577,3375
577,3376
577,5148
578,3433
578,3448
578,3453
578,3455
578,3613
579,5449
580,5566
581,3459
581,3461
581,3462
581,3629
582,2710
582,3439
582,3443
583,3320
583,3321
583,3323
583,3325
584,3334
584,3335
585,3388
585,5488
586,3338
586,3350
586,3353
586,4510
587,3383
587,3399
587,3403
587,3404
588,3154
588,3189
588,3538
589,3064
590,3174
590,3176
590,3179
591,3212
591,4401
592,3139
592,3167
592,3534
593,3241
593,3496
593,3500
594,2958
594,3246
594,3261
594,3265
595,3224
595,3225
595,3296
595,5356
596,3200
596,3201
596,3220
597,2727
597,3195
597,3196
597,3197
