TCode,Name_E,Name_G,BID
0244,Arnod,अरनोद	,198
0241,Pipalkhunt,पीपलखूंट,199
0020,Kolayat,कोलायत,200
0021,Nokha,नोखा,201
0017,Bikaner ,बीकानेर,202
0024,Dungergarh,डूगरगढ,203
0019,Loonkaransar,लूनकरणसर,204
0022,Khajuwala,खाजूवाला,205
0027,Sardarshahar,सरदारशहर,206
0028,Churu,चूरू	,207
0025,Taranagar,तारानगर,208
0029,Ratangarh,रतनगढ,209
0030,Sujangarh,सुजानगढ,210
0026,Rajgarh,राजगढ,211
0001,Karanpur,करणपुर,212
0002,Ganganagar,गंगानगर	,213
0004,Padampur,पदमपुर,214
0003,Sadulshahar,सादूलशहर	,215
0005,Raisinghnagar,रायसिहन्रगर	,216
0009,Suratgarh,सूरतगढ्,217
0006,Anupgarh,अनूपगढ्,218
0007,Gharsana,घडसाना,219
0000,Hanumangarh,हनुमानगढ	,220
0015,Nohar,नोहर	,221
0016,Bhadra,भादरा	,222
0013,Pilibanga,पीलीबंगा,223
0010,Sangaria,संगरि‍या,224
0011,Tibbi,टिब्‍बी,225
0014,Rawatsar,रावतसर,226
0050,Kaman,कामां	,227
0051,Nagar,नगर	,228
0052,Deeg,डीग	,229
0054,Kumher,कुम्‍हेर,230
0055,Sewar,सेवर,231
0053,Nadbai,नदबई,232
0056,Bhusawar,भुसावर,233
0057,Bayana,बयाना,234
0058,Rupbas,रूपवास	,235
0059,Baseri,बसेडी,236
0060,Bari,बाडी,237
0000,Dholpur,धौलपुर,238
0063,Rajakhera,राजाखेडा,239
0067,Karoli,करौली	,240
0069,Sapotra,सपोटरा	,241
0066,Hindaun,हिण्‍डोन	,242
0064,Todabhim,टोडाभीम	,243
0065,Gudachandraji,गुडाचन्‍द्रजी,244
0071,Bamanwas,बामनवास	,245
0010,Gangapur City,गंगापुर सिटी,246
0073,Bonli,बौली	,247
0000,Sawai Madhopur,सवाई माधोपुर	,248
0076,Khandar,खण्‍डार,249
