PID,Name_E,Name_G,CID,DCode,TCode,BID,Code_16,Phy_VCode,Facility_Type,Is_Tribal,Is_Notional
1320,BSF Hospital,बीएसएफ हॉस्पिटल,,15,0000,,,,100,0,False
1321,ESI Hospital,ईएसआई हॉस्पिटल,,15,0000,,,,100,0,False
1322,Patwa,पाटवा,,20,0141,137,,,1,0,False
1323,Bedkalaan,बेडकलां,,20,0141,137,,,1,0,False
1324,Balunda,बलुन्‍दा,,20,0141,137,,,1,0,False
1325,Nimbol,निम्‍बोल,,20,0141,137,,,1,0,False
1326,Kurkee,कुडकी,,20,0141,137,,,1,0,False
1327,Anandpur Kalu,आनन्‍दपुर कालू,,20,0141,137,,,1,0,False
1328,Ras,रास,,20,0141,137,,,2,0,False
1329,Lambiya,लाम्बिया,,20,0141,137,,,1,0,False
1330,Pipada,पिपाडा	,,20,0141,137,,,1,0,False
1331,Balada,बलाडा,,20,0141,137,,,1,0,False
1332,Palka,फालका,,20,0141,137,,,1,0,False
1333,Jaitaran,जैतारण	,,20,0141,137,,,2,0,False
1334,Nimaj,निमाज	,,20,0141,137,,,2,0,False
1335,Peepaliya Kalan,पिपलिया कलां,,20,0142,138,,,1,0,False
1336,Devlikalaan,देवलीकलां,,20,0142,138,,,1,0,False
1337,Bar,बर,,20,0142,138,,,1,0,False
1338,Giri,गिरी,,20,0142,138,,,1,0,False
1339,Babra,बाबरा,,20,0142,138,,,1,0,False
1340,Kanuja,काणूजा,,20,0142,138,,,1,0,False
1341,Kusalpura,कुशालपुरा,,20,0142,138,,,2,0,False
1342,Raipur,रायपुर,,20,0142,138,,,2,0,False
1343,Chandaval,चण्‍डावल,,20,0143,139,,,1,0,False
1344,Atbera,अटपरा,,20,0143,139,,,1,0,False
1345,Siyat,सियाट,,20,0143,139,,,1,0,False
1346,Hariyamali,हरियामाली,,20,0143,139,,,1,0,False
1347,Roopawas,रूपावास,,20,0143,139,,,1,0,False
1348,Chadwas,चाण्‍डवास,,20,0143,139,,,1,0,False
1349,Rajola Kalan,राजौला कलां,,20,0143,139,,,1,0,False
1350,Gaguda,गागुडा,,20,0143,139,,,1,0,False
1351,Dhakree,धाकडी,,20,0143,139,,,1,0,False
1352,Sardarsamand,सरदार समन्‍द,,20,0143,139,,,1,0,False
1353,Bagri Nagar,बगरी नगर,,20,0143,139,,,2,0,False
1354,Sojatroad,सोजत रोड,,20,0143,139,,,2,0,False
1355,Govt Hospital Sojat,राजकीय आचार्य रधुना‍थ जैन स्‍म़ति अस्‍पताल,सोजतसिट,,20,0143,139,,,4,0,False
1356,Khairwa,खैरवा,,20,0145,140,,,1,0,False
1357,Lambiya,लाम्बिया,,20,0145,140,,,1,0,False
1358,Gundoj,गुन्‍दोज,,20,0145,140,,,1,0,False
1359,Guda Endla,गुडा एन्‍दला,,20,0145,140,,,1,0,False
1360,Denda,डेण्‍डा,,20,0145,140,,,1,0,False
1361,Kharda,खारडा,,20,0144,141,,,1,0,False
1362,Jaitpur,जैतपुर,,20,0144,141,,,1,0,False
1363,Chenda,चेण्‍डा,,20,0144,141,,,1,0,False
1364,Rohat,रोहट,,20,0144,141,,,2,0,False
1365,Auwa,अउवा,,20,0146,142,,,1,0,False
1366,Banta,बन्‍ता,,20,0146,142,,,1,0,False
1367,Dhamli,धामली,,20,0146,142,,,1,0,False
1368,Dhanla,धनला,,20,0146,142,,,1,0,False
1369,Jojawar,जोजावर,,20,0146,142,,,1,0,False
1370,Kantaleeyan,कन्‍टालियां,,20,0146,142,,,1,0,False
1371,Ranawas,राणावास,,20,0146,142,,,1,0,False
