BID,Name_E,Name_G,HQ,DCode,TCode,MDDS_Code
191,Bhinder,भीण्‍डर,Bhinder,33,0234,793
192,Kherwara,खैरवाडा,Kherwara,33,0239,798
193,Mavli,मावली,Mavli,33,0229,800
194,Rishabdev,ऋषबदेव,Rishabdev,33,0238,
195,Dhariawad,धरि‍यावद	,Dhariawad,34,0240,794
196,Chhoti Sadri,छोटी सादडी,Chhoti Sadri,34,0242,646
197,Pratapgarh,प्रतापगढ	,Pratapgarh,34,0243,652
198,Arnod,अरनोद	,Arnod,34,0244,640
199,Pipalkhunt,पीपलखूंट,Pipalkhunt,34,0241,
200,Kolayat,कोलायत,Kolayat,3,0020,632
201,Nokha,नोखा,Nokha,3,0021,634
202,Bikaner,बीकानेर,Bikaner ,3,0017,631
203,Dungergarh,डूगरगढ,Dungergarh,3,0024,
204,Loonkaransar,लूनकरणसर,Loonkaransar,3,0019,633
205,Khajuwala,खाजूवाला,Khajuwala,3,0022,6715
206,Sardarshahar,सरदारशहर,Sardarshahar,4,0027,657
207,Churu,चूरू,Churu,4,0028,654
208,Taranagar,तारानगर,Taranagar,4,0025,659
209,Ratangarh,रतनगढ,Ratangarh,4,0029,656
210,Sujangarh,सुजानगढ,Sujangarh,4,0030,658
211,Rajgarh,राजगढ,Rajgarh,4,0026,655
212,Karanpur,करणपुर,Karanpur,1,0001,676
213,Ganganagar,गंगानगर	,Ganganagar,1,0002,675
214,Padampur,पदमपुर,Padampur,1,0004,677
215,Sadulshahar,सादूलशहर	,Sadulshahar,1,0003,679
216,Raisinghnagar,रायसिहन्रगर	,Raisinghnagar,1,0005,678
217,Suratgarh,सूरतगढ्,Suratgarh,1,0009,680
218,Anupgarh,अनूपगढ्,Anupgarh,1,0006,674
219,Gharsana,घडसाना,Gharsana,1,0007,6719
220,Hanumangarh,हनुमानगढ	,Hanumangarh,2,0000,682
221,Nohar,नोहर	,Nohar,2,0015,683
222,Bhadra,भादरा	,Bhadra,2,0016,681
223,Pilibanga,पीलीबंगा,Pilibanga,2,0013,6614
224,Sangaria,संगरि‍या,Sangaria,2,0010,6615
225,Tibbi,टिब्‍बी,Tibbi,2,0011,6616
226,Rawatsar,रावतसर,Rawatsar,2,0014,6617
227,Kaman,कामां	,Kaman,7,0050,613
228,Nagar,नगर	,Nagar,7,0051,
229,Deeg,डीग	,Deeg,7,0052,612
230,Kumher,कुम्‍हेर,Kumher,7,0054,614
231,Sewar,सेवर,Sewar,7,0055,618
232,Nadbai,नदबई,Nadbai,7,0053,615
233,Bhusawar,भुसावर,Bhusawar,7,0056,
234,Bayana,बयाना,Bayana,7,0057,611
235,Rupbas,रूपवास	,Rupbas,7,0058,617
236,Baseri,बसेडी,Baseri,8,0059,666
237,Bari,बाडी,Bari,8,0060,665
238,Dholpur,धौलपुर,Dholpur,8,0000,667
239,Rajakhera,राजाखेडा,Rajakhera,8,0063,668
240,Karoli,करौली	,Karoli,9,0067,731
241,Sapotra,सपोटरा	,Sapotra,9,0069,733
242,Hindaun,हिण्‍डोन	,Hindaun,9,0066,730
243,Todabhim,टोडाभीम	,Todabhim,9,0064,734
244,Gudachandraji,गुडाचन्‍द्रजी,Gudachandraji,9,0065,
245,Bamanwas,बामनवास	,Bamanwas,10,0071,768
246,Gangapur City,गंगापुर सिटी,Gangapur City,10,0010,770
247,Bonli,बौली	,Bonli,10,0073,769
248,Sawai Madhopur,सवाई माधोपुर	,Sawai Madhopur,10,0000,772
249,Khandar,खण्‍डार,Khandar,10,0076,771
