PID,Name_E,Name_G,CID,DCode,TCode,BID,Code_16,Phy_VCode,Facility_Type,Is_Tribal,Is_Notional
248,PHC PHULWARIYA,PHC PHULWARIYA,,5,0037,99,502,,1,0,False
250,PHC ITAEE,PHC ITAEE,,5,0032,100,502,,1,0,False
251,CHC LATEHAR,CHC LATEHAR,,20,0145,106,501,,2,0,False
253,CHC BALUMATH,CHC BALUMATH,,20,0146,101,501,,2,0,False
254,PHC HERHANJ,PHC HERHANJ,,20,0146,101,502,,1,0,False
257,CHC MANIKA,CHC MANIKA,,20,0141,108,501,,2,0,False
258,PHC PALHEYA,PHC PALHEYA,,20,0141,108,502,,1,0,False
259,CHC BARWADIH,CHC BARWADIH,,20,0142,103,501,,2,0,False
260,PHC MANDAL,PHC MANDAL,,20,0142,103,502,,1,0,False
261,PHC CHHIPADOHAR,PHC CHHIPADOHAR,,20,0142,103,503,0,1,0,False
262,PHC CHIPADOHAR,PHC CHIPADOHAR,,20,0142,103,504,,1,0,False
263,CHC MAHUADAND,CHC MAHUADAND,,20,0143,107,501,,2,0,False
264,PHC BARDAONI,PHC BARDAONI,,20,0143,107,502,,1,0,False
265,CHC LOHARDAGA,CHC LOHARDAGA,,15,0107,112,501,,2,0,False
268,CHC KURU,CHC KURU,,15,0105,111,501,,2,0,False
270,CHC KISKO,CHC KISKO,,15,0103,110,501,,2,0,False
274,CHC SENHA,CHC SENHA,,15,0108,196,501,,2,0,False
277,CHC BHANDRA,CHC BHANDRA,,15,0109,109,501,,2,0,False
279,CHC PAKUR,CHC PAKUR,,10,0082,117,501,,2,0,False
280,PHC BELDANGA,PHC BELDANGA,,10,0082,117,502,,1,0,False
281,PHC JIGARHATTI,PHC JIGARHATTI,,10,0082,117,503,,1,0,False
282,PHC BARHAWAD,PHC BARHAWAD,,10,0082,117,504,,1,0,False
283,CHC LITIPARA,CHC LITIPARA,,10,0079,115,501,,2,0,False
284,PHC DUMRIYA,PHC DUMRIYA,,10,0079,115,502,,1,0,False
285,PHC DHARAMPUR,PHC DHARAMPUR,,10,0079,115,503,,1,0,False
286,CHC AMRAPARA,CHC AMRAPARA,,10,0080,113,501,,2,0,False
287,PHC AMTALLA,PHC AMTALLA,,10,0080,113,502,,1,0,False
288,CHC MAHESPUR,CHC MAHESPUR,,10,0083,116,501,,2,0,False
289,PHC SHAHARGARAM,PHC SHAHARGARAM,,10,0083,116,502,,1,0,False
290,PHC KAIRACHHATAR,PHC KAIRACHHATAR,,10,0083,116,503,,1,0,False
291,CHC PAKURIYA,CHC PAKURIYA,,10,0084,118,501,,2,0,False
292,PHC SALGAPARA,PHC SALGAPARA,,10,0084,118,502,,1,0,False
293,CHC DALTONGANG,CHC DALTONGANG,,19,0139,197,501,,2,0,False
294,PHC JAMUNE,PHC JAMUNE,,19,0139,197,502,,1,0,False
295,CHC CHAINPUR,CHC CHAINPUR,,19,0140,119,501,,2,0,False
296,PHC PATHARA,PHC PATHARA,,19,0140,119,502,,1,0,False
297,PHC RAMGARH,PHC RAMGARH,,19,0140,119,503,,1,0,False
298,PHC HUTAR,PHC HUTAR,,19,0140,119,504,,1,0,False
302,CHC MANATU,CHC MANATU,,19,0134,124,501,,2,0,False
