BID,Name_E,Name_G,HQ,DCode,TCode,MDDS_Code
43,DHURKI,DHURKI,,1,0010,3121
44,GARHWA SADAR,GARHWA SADAR,,1,0015,3122
45,MAJHIAON,MAJHIAON,,1,0005,3125
152,PATRATU,PATRATU,,22,0166,3174
153,RAMGARH,RAMGARH,,22,0168,3175
154,BUNDU,BUNDU,,25,0204,3220
155,BURMU,BURMU,,25,0188,3221
156,CHANHO,CHANHO,,25,0200,3222
157,KANKE,KANKE,,25,0190,3223
158,LAPUNG,LAPUNG,,25,0203,3226
159,MANDAR,MANDAR,,25,0199,3227
160,ORMANJHI,ORMANJHI,,25,0191,3230
161,RATU,RATU,,25,0197,3232
162,SILLI,SILLI,,25,0194,3233
163,SONAHATU,SONAHATU,,25,0195,3234
164,TAMAR,TAMAR,,25,0205,3235
165,BARHAIT,BARHAIT,,9,0073,3237
166,BARHARWA,BARHARWA,,9,0078,3238
167,BORIO,BORIO,,9,0072,3239
168,PATHNA,PATHANA,,9,0077,3241
169,RAJMAHAL,RAJMAHAL,,9,0075,3242
170,SAHIBGANG,SAHIBGANJ,,9,0070,3243
171,TALJHARI,TALJHARI,,9,0074,3244
172,CHANDIL,CHANDIL,,30,0254,3246
173,GAMHARIA,GAMHARIA,,30,0258,3247
175,ICHAGARH,ICHAGARH,,30,0255,3248
176,KHARSAWAN,KHARSAWAN,,30,0253,3249
177,KUCHAI,KUCHAI,,30,0252,3250
178,NIMDIH,NIMDIH,,30,0257,3251
179,RAJNAGAR,RAJNAGAR,,30,0260,3252
180,BANO,BANO,,28,0233,3254
181,BOLBA,BOLBA,,28,0228,3255
182,JALDEGA,JALDEGA,,28,0231,3256
183,KOLEBIRA,KOLEBIRA,,28,0230,3257
184,KURDEG,KURDEG,,28,0226,3258
185,SIMDEGA,SIMDEGA,,28,0224,3259
186,THETHAITANAGAR,THETHAITANAGAR,,28,0229,3260
187,JORAPOKHAR,JORAPOKHAR,,12,0091,
190,BARHI,BARHI,BARHI,21,0151,3162
191,BARKAGAON,BARKAGAON,BARKAGAON,21,0163,3163
192,PALAJORI,PALAJORI,PALAJORI,7,0060,3087
193,KATHIKUND,KATHIKUND,KATHIKUND,23,0176,3102
194,GUMLA,GUMLA,GUMLA,27,0218,3157
195,HAZARIBAG,HAZARIBAG,HAZARIBAG,21,0159,
196,SENHA,SENHA,SENHA,15,0108,3197
197,MEDININAGAR (DALTONGANJ),MEDININAGAR (DALTONGANJ),MEDININAGAR (DALTONGANJ),19,0139,3207
198,HARIHARGANJ,HARIHARGANJ,HARIHARGANJ,19,0124,3209
199,BISHRAMPUR,BISHRAMPUR,BISHRAMPUR,19,0130,3204
200,LESLIGANJ,LESLIGANJ,LESLIGANJ,19,0138,3211
201,VERNO,VERNO,VERNO,27,0215,3152
202,GODDA SADAR,GODDA SADAR,GODDA SADAR,8,0067,3144
203,MANOHARPUR,MANOHARPUR,MANOHARPUR,29,0241,3271
204,CHAIBASA,CHAIBASA,CHAIBASA,29,0245,3262
205,SARWAN,SARWAN,SARWAN,7,0053,3089
207,BADAJAMDA,BADAJAMDA,NOAMUNDI,29,0242,
208,SARAIKELA,SARAIKELA,,30,0259,3253
209,JASIDIH,JASIDIH,JASIDIH,7,0051,3082
213,SADAR HOSPITAL MCH SIMDEGA,MCH SIMDEGA,,28,0224,
215,NOTIONAL DISTRICT HOSPITAL,NOTIONAL DISTRICT HOSPITAL,,21,0159,
217,RANCHI URBAN,RANCHI URBAN,,25,0190,
46,MERAL,MERAL,,1,0014,3126
47,NAGARUNTARI,NAGARUNTARI,,1,0009,3127
48,RANKA,RANKA,,1,0017,3130
49,BAGODAR,BAGODAR,,6,0047,3131
50,BENGABAD,BENGABAD,,6,0043,3132
51,BIRNI,BIRNI,,6,0046,3133
52,DEORI,DEORI,,6,0040,3134
53,DHANWAR,DHANWAR,,6,0041,3135
56,DUMRI,DUMRI,,6,0049,3136
57,GANDEY,GANDEY,,6,0044,3137
58,GAWAN,GAWAN,,6,0038,3138
59,GIRIDIH,GIRIDIH,,6,0045,3139
61,JAMUA,JAMUA,,6,0042,3140
62,PIRTAND,PIRTAND,,6,0050,3141
63,TISRI,TISRI,,6,0039,3142
64,BOARIJOR,BOARIJOR,,8,0063,3143
65,MAHGAMA,MAHAGAMA,,8,0064,3145
66,MEHERMA,MEHERMA,,8,0061,3146
67,PATHARGAMA,PATHARGAMA,,8,0065,3147
68,POREYAHAT,POREYAHAT,,8,0068,3148
69,SUNDARPAHARI,SUNDARPAHARI,,8,0069,3149
70,BASIA,BASIA,,27,0217,3151
72,DUMRI,DUMRI,,27,0220,3155
73,BISHUNPUR,BISHUNPUR,,27,0212,3153
74,CHAINPUR,CHAINPUR,,27,0219,3154
75,KAMDARA,KAMDARA,,27,0216,3158
76,GHAGHARA,GHAGHRA,,27,0213,3156
77,PALKOT,PALKOT,,27,0223,3159
78,RAIDIH,RAIDIH,,27,0222,3160
79,SISAI,SISAI,,27,0214,3161
80,BARKATHA,BARKATHA,,21,0156,3164
81,BISHUNGARH,BISHUNGARH,,21,0158,3165
