BID,Name_E,Name_G,HQ,DCode,TCode,MDDS_Code
435,JASHIPUR,JASHIPUR,Jashipur,7,0113,3496
438,LAMTAPUT,LAMTAPUT,Lamtaput,29,0460,3474
439,NANDAPUR,NANDAPUR,Nandapur,29,0462,3476
440,JAMDA,JAMDA,Jamda,7,0106,3495
441,GOPABANDHU NAGAR,GOPABANDHU NAGAR,Gopabandhu Nagar,7,0129,3494
442,JEYPUR,JEYPUR,Jeypur,29,0457,3470
443,SARASKANA,SARASKANA,Saraskana,7,0109,3507
444,SUKRULI,SUKRULI,Sukruli,7,0114,3508
445,BIJATALA,BIJATALA,Bijatala,7,0111,3492
446,SAMAKHUNTA,SAMAKHUNTA,Samakhunta,7,0118,3506
447,NAYAGARH,NAYAGARH,PHC Badapandusar,16,0277,3527
448,NUAGAON,NUAGAON,CHC Mahipur,16,0272,3528
450,RANPUR,RANPUR,UGPHC Rajsunakhala,16,0280,3530
451,NANDAHANDI,NANDAHANDI,Nandahandi,28,0444,3518
452,ODAGAON,ODAGAON,CHC Sarankul,16,0278,3529
453,Bamara,Bamara,Garposh,3,00,3558
455,KOCHINDA,KOCHINDA,Kuntara,3,0028,3562
456,MANESWAR,MANESWAR,Themera,3,0041,3563
457,JUJUMARA,JUJUMARA,Jujumara,3,0040,3561
458,RENGALI,RENGALI,Liada,3,0029,3566
459,NAKTIDEOL,NAKTIDEOL,Naktideol,3,0043,3564
460,DHANKODA,DHANKODA,Debeipali,3,0034,3559
461,JAMANKIRA,JAMANKIRA,Fasimal,3,0038,3560
464,RAIRAKHOL,RAIRAKHOL,Charmal,3,0043,3565
466,KANIHA,KANIHA,KANIHA,15,0249,3280
