TCode,ID,Name_G,Name_E,DCode,MDDS_Code,IsVerified
0263,625,Kishorenagar ,Kishorenagar ,15,3016,True
0264,626,Athmallik ,Athmallik ,15,3017,True
0265,627,Kiakata ,Kiakata ,15,3018,True
0266,628,Thakurgarh ,Thakurgarh ,15,3019,True
0267,629,Purunakot,Purunakot,15,3020,True
0268,630,Bantala ,Bantala ,15,3021,True
0269,631,Gania ,Gania ,16,3022,True
0270,632,Dasapalla  ,Dasapalla  ,16,3023,True
0271,633,Banigochha ,Banigochha ,16,3024,True
0272,634,Nuagaon ,Nuagaon ,16,3025,True
0273,635,Khandapada ,Khandapada ,16,3026,True
0274,761,Fategarh ,Fategarh ,16,3027,True
0275,762,Nayagarh ,Nayagarh ,16,3028,True
0276,763,Itamati ,Itamati ,16,3029,True
0277,764,Nayagarh Sadar ,Nayagarh Sadar ,16,3030,True
0278,765,Odagaon ,Odagaon ,16,3031,True
0279,766,Sarankul ,Sarankul ,16,3032,True
0280,767,Ranapur ,Ranapur ,16,3033,True
0281,768,Bolagad ,Bolagad ,17,3034,True
0282,769,Begunia ,Begunia ,17,3035,True
0283,770,Khordha,Khordha,17,3036,True
0284,771,Khurda Sadar ,Khurda Sadar ,17,3037,True
0285,772,Chandaka ,Chandaka ,17,3038,True
0286,773,Nandankanan ,Nandankanan ,17,3039,True
0287,774,Saheednagar ,Saheednagar ,17,3040,True
0288,775,Mancheswar ,Mancheswar ,17,3041,True
0289,776,Balianta ,Balianta ,17,3042,True
0290,777,Balipatna ,Balipatna ,17,3043,True
0291,778,Lingaraj ,Lingaraj ,17,3044,True
0292,779,Airfield (Kapila Prasad) ,Airfield (Kapila Prasad) ,17,3045,True
0293,780,Uttara ,Uttara ,17,3046,True
0294,781,Khandagiri ,Khandagiri ,17,3047,True
0295,782,Tamando ,Tamando ,17,3048,True
0296,783,Jatani ,Jatani ,17,3049,True
0297,784,Jankia ,Jankia ,17,3050,True
0298,785,Nirakarpur ,Nirakarpur ,17,3051,True
0299,786,Tangi ,Tangi ,17,3052,True
0300,787,Balugaon ,Balugaon ,17,3053,True
0301,788,Banapur ,Banapur ,17,3054,True
0302,789,Bhubaneswar (M.Corp.) P.S.,Bhubaneswar (M.Corp.) P.S.,17,3055,True
0318,886,TARASINGI,TARASINGI,19,3071,True
0319,887,BUGUDA ,BUGUDA ,19,3072,True
0320,888,JAGANNATH PRASAD ,JAGANNATH PRASAD ,19,3073,True
0321,889,BHANJANAGAR ,BHANJANAGAR ,19,3074,True
0322,890,GANGAPUR ,GANGAPUR ,19,3075,True
0323,891,SURADA ,SURADA ,19,3076,True
0324,892,BADAGADA ,BADAGADA ,19,3077,True
0325,893,ASIKA ,ASIKA ,19,3078,True
0326,894,DHARAKOTE ,DHARAKOTE ,19,3079,True
0327,895,KABISURYANAGAR ,KABISURYANAGAR ,19,3080,True
0328,896,POLASARA ,POLASARA ,19,3081,True
0329,897,KODALA ,KODALA ,19,3082,True
0330,898,KHALIKOTE ,KHALIKOTE ,19,3083,True
0331,899,RAMBHA ,RAMBHA ,19,3084,True
0332,900,CHHATRAPUR ,CHHATRAPUR ,19,3085,True
0333,901,GANJAM ,GANJAM ,19,3086,True
0334,902,CHAMAKHANDI ,CHAMAKHANDI ,19,3087,True
0335,903,ARJYAPALLI MARINE ,ARJYAPALLI MARINE ,19,3088,True
0336,904,PURUSOTTAMPUR,PURUSOTTAMPUR,19,3089,True
0337,905,HINJILI ,HINJILI ,19,3090,True
0338,906,PATAPUR ,PATAPUR ,19,3091,True
0339,907,SERAGAD ,SERAGAD ,19,3092,True
0340,796,BRAHMAPUR SADAR ,BRAHMAPUR SADAR ,19,3093,True
0341,797,GOPALPUR ,GOPALPUR ,19,3094,True
0342,798,GOLANTHARA ,GOLANTHARA ,19,3095,True
0343,799,DIGAPAHANDI ,DIGAPAHANDI ,19,3096,True
0344,800,NUAGAON ,NUAGAON ,19,3097,True
0345,801,JARADA ,JARADA ,19,3098,True
0346,802,RAMAGIRI ,RAMAGIRI ,19,,False
0347,803,Brahmapur (M.Corp.) P.S.,Brahmapur (M.Corp.) P.S.,19,3099,True
0348,804,Adva,Adva,20,3100,True
0349,805,Mohana,Mohana,20,3101,True
0350,806,R.Udayagiri,R.Udayagiri,20,3102,True
0351,807,Serango,Serango,20,3103,True
0352,808,Kashinagar,Kashinagar,20,3104,True
0353,809,Parlakhemundi,Parlakhemundi,20,3105,True
0354,810,Gurandi,Gurandi,20,3106,True
0355,811,Rayagada,Rayagada,20,3107,True
0356,812,Garabandha,Garabandha,20,3108,True
0357,813,Ramagiri,Ramagiri,20,3109,True
0358,814,Gochhapada ,Gochhapada ,21,3110,True
0359,815,Phulabani ,Phulabani ,21,3111,True
0360,816,Phulabani Town  ,Phulabani Town  ,21,3112,True
0361,817,Khajuripada ,Khajuripada ,21,3113,True
0362,818,G.Udayagiri ,G.Udayagiri ,21,3114,True
0363,819,Tikabali ,Tikabali ,21,3115,True
0364,820,Chakapada ,Chakapada ,21,3116,True
0365,821,Sarangagarh ,Sarangagarh ,21,3117,True
0366,822,Phiringia  ,Phiringia  ,21,3118,True
0367,823,Baliguda ,Baliguda ,21,3119,True
0368,824,Nuagaon ,Nuagaon ,21,3120,True
0369,825,Tumudibandha ,Tumudibandha ,21,3121,True
0370,826,Belaghar ,Belaghar ,21,3122,True
0371,827,Kotagarh ,Kotagarh ,21,3123,True
0372,828,Brahmanigaon,Brahmanigaon,21,3124,True
0373,829,Daringbadi,Daringbadi,21,3125,True
0374,830,Raikia ,Raikia ,21,3126,True
0375,831,Kantamal,Kantamal,22,3127,True
0376,832,Manamunda ,Manamunda ,22,3128,True
0377,833,Baunsuni ,Baunsuni ,22,3129,True
0378,834,Baudh Sadar ,Baudh Sadar ,22,3130,True
0379,835,Puruna Katak ,Puruna Katak ,22,3131,True
0380,836,Harbhanga  ,Harbhanga  ,22,3132,True
0381,837,Dunguripali ,Dunguripali ,23,3133,True
0382,838,Rampur ,Rampur ,23,3134,True
0383,839,Binika ,Binika ,23,3135,True
0384,840,Ulunda ,Ulunda ,23,3136,True
0385,841,Biramaharajpur ,Biramaharajpur ,23,3137,True
0386,908,Subalaya ,Subalaya ,23,3138,True
0387,909,Sonapur ,Sonapur ,23,3139,True
0388,910,Tarbha ,Tarbha ,23,3140,True
0389,911,Loisinga ,Loisinga ,24,3141,True
0390,912,Balangir ,Balangir ,24,3142,True
0391,913,Tushura ,Tushura ,24,3143,True
0392,914,Patnagarh ,Patnagarh ,24,3144,True
0393,915,Khaprakhol ,Khaprakhol ,24,3145,True
0394,916,Turekela ,Turekela ,24,3146,True
0395,917,Belpara ,Belpara ,24,3147,True
0396,918,Saintala ,Saintala ,24,3148,True
0397,919,Kantabanji ,Kantabanji ,24,3149,True
0398,920,Bangomunda ,Bangomunda ,24,3150,True
0399,921,Sindhekela ,Sindhekela ,24,3151,True
0400,922,Titlagarh ,Titlagarh ,24,3152,True
0401,923,Jonk,Jonk,25,3153,True
0402,924,Nuapada,Nuapada,25,3154,True
0403,926,Komana ,Komana ,25,3155,True
0404,927,Khariar ,Khariar ,25,3156,True
0405,928,Boden ,Boden ,25,3157,True
0406,929,Sinapali ,Sinapali ,25,3158,True
0407,930,Kesinga ,Kesinga ,26,3159,True
0408,931,Madanpur Rampur ,Madanpur Rampur ,26,3160,True
0409,932,Narala ,Narala ,26,3161,True
0410,842,Lanjigarh  ,Lanjigarh  ,26,3162,True
0411,843,Biswanathpur ,Biswanathpur ,26,3163,True
0412,844,Sadar ,Sadar ,26,3164,True
0413,845,Kegaon ,Kegaon ,26,3165,True
0414,846,Junagarh ,Junagarh ,26,3166,True
0415,847,Golamunda ,Golamunda ,26,3167,True
0416,848,Dharamgarh ,Dharamgarh ,26,3168,True
0417,849,Kokasara ,Kokasara ,26,3169,True
0418,850,Jayapatna ,Jayapatna ,26,3170,True
0419,851,Thuamul Rampur ,Thuamul Rampur ,26,3171,True
0420,852,Ambadala ,Ambadala ,27,3172,True
0421,853,Muniguda ,Muniguda ,27,3173,True
0422,854,Chandrapur ,Chandrapur ,27,3174,True
0423,855,Bishamakatak,Bishamakatak,27,3175,True
0424,856,Kalyanasingpur ,Kalyanasingpur ,27,3176,True
0425,857,Kashipur ,Kashipur ,27,3177,True
0426,858,Andirakanch ,Andirakanch ,27,3178,True
0427,859,Tikiri ,Tikiri ,27,3179,True
0428,860,Doraguda ,Doraguda ,27,3180,True
0429,933,Rayagada ,Rayagada ,27,3181,True
0430,934,Seskhal ,Seskhal ,27,3182,True
0431,935,Gunupur ,Gunupur ,27,3183,True
0432,936,Gudari ,Gudari ,27,3184,True
0433,937,Padmapur ,Padmapur ,27,3185,True
0434,938,Puttasing ,Puttasing ,27,3186,True
0435,939,Raighar ,Raighar ,28,3187,True
0436,940,Kundei ,Kundei ,28,3188,True
0437,941,Umarkote ,Umarkote ,28,3189,True
0438,942,Chandahandi ,Chandahandi ,28,3190,True
0439,943,Jharigan  ,Jharigan  ,28,3191,True
0440,944,Dabugan ,Dabugan ,28,3192,True
0441,945,Paparahandi ,Paparahandi ,28,3193,True
0442,946,Kodinga ,Kodinga ,28,3194,True
0443,947,Kosagumuda ,Kosagumuda ,28,3195,True
0444,948,Nabarangapur,Nabarangapur,28,3196,True
0445,949,Tentulikhunti ,Tentulikhunti ,28,3197,True
0446,950,Khatiguda ,Khatiguda ,28,3198,True
0447,951,Kotpad ,Kotpad ,29,3199,True
